admissible,penalty,min_correlation,max_average_difference,max_norm_difference,worst_species
False,2.656143564319534,0.8506592208522593,0.46297679479973625,0.062440942090984414,PGF
True,0.0,0.98897568449386,0.15574256614309515,0.07356589406914554,FSH
True,0.0,0.9668314909057327,0.20528347562744598,0.024900389800722008,FSH
False,5.722743400887655,0.8170925649065676,0.5392225616635616,0.11230788158629512,PGF
True,0.0,0.9973640133096795,0.07729962860533313,0.04041447264964895,FSH
True,0.0,0.9860927525364641,0.15884778946372846,0.05150825447397951,FSH
True,0.0,0.9969833616053577,0.07250617119913345,0.010515017099400231,FSH
False,0.07818890262127558,0.9689032892909126,0.3279622786305543,0.1724587774081731,PGF
True,0.0,0.9794930732996812,0.16529892551272163,0.015283698159424352,FSH
False,5.015668770686998,0.8235226803929754,0.523956888054085,0.11255944833491678,PGF
True,0.0,0.9908576074644962,0.13400858581939534,0.05102436746646422,FSH
False,0.03111047423319974,0.9404093063752084,0.31763816153492186,0.03447419197536202,PGF
False,1.800746628354199,0.8643696098457704,0.4341919009610565,0.07171335631888315,PGF
True,0.0,0.978426351621423,0.17416200498328296,0.031310139226969354,FSH
True,0.0,0.9683655159857864,0.21237337988758617,0.024056118640706777,FSH
True,0.0,0.9855118965352542,0.1824048324721985,0.07413822173683812,FSH
True,0.0,0.9987062130675546,0.04076864772837845,0.017309817688965324,FSH
True,0.0,0.9513434289816618,0.24877998723566608,0.024933066914519363,FSH
True,0.0,0.9986909821233119,0.055639257812772014,0.025881435999372142,FSH
True,0.0,0.96410177304253,0.22249945690392064,0.01877021688947647,FSH
False,3.0165662685621335,0.893322189598913,0.429446970521791,0.04243253375958204,PGF
True,0.0,0.9716821617792956,0.28796484942074313,0.12259527405944098,FSH
False,0.9954303736556624,0.8829346651203526,0.39977125706613414,0.07193412536006821,PGF
False,0.015118933839498002,0.9683437854682497,0.31229590738396235,0.12880338544683975,PGF
False,1.0314535079557587,0.8850589744726426,0.4015604996027372,0.09908571994491211,PGF
True,0.0,0.9788868438195106,0.24960070539211232,0.12908774951186178,FSH
True,0.0,0.9791838726002388,0.2341113254247684,0.11898502354666435,FSH
False,3.097516201142864,0.8464529740168016,0.4759976193345485,0.0751402698533227,PGF
True,0.0,0.9917601420759512,0.1217962259621234,0.048604578530209414,FSH
True,0.0,0.9992776173589709,0.03610702700744957,0.02188466375317292,FSH
True,0.0,0.9812285467084488,0.20965239667635868,0.10614120782910932,FSH
True,0.0,0.9989450487239395,0.043264722203956225,0.004888543334924189,FSH
True,0.0,0.9765792405879499,0.2606064017332634,0.1521298523553049,FSH
True,0.0,0.9882475184103955,0.170424432104293,0.0887695963590132,FSH
True,0.0,0.9917741618545045,0.12491520684809158,0.04196340885575288,FSH
True,0.0,0.9725253277032376,0.19224860924887344,0.027832895982813705,FSH
False,1.8396895074511563,0.8643587237743618,0.4356351542724509,0.05527764217686973,PGF
True,0.0,0.9919907175791981,0.14177139104467085,0.07397599022486316,FSH
True,0.0,0.9845878900159745,0.14529597748735046,0.025726207585540024,FSH
False,0.03318583654197813,0.9698414305186035,0.3182169801399623,0.16058350690311424,PGF
True,0.0,0.9715171157475303,0.19695339554759617,0.022369178676969716,FSH
True,0.0,0.9984117150322259,0.04549250385990314,0.020708351085378777,FSH
True,0.0,0.9791204831222549,0.2490896048603195,0.1417926573789966,FSH
False,0.7860528390721787,0.8867945387834332,0.38865962097100226,0.06576724029824857,PGF
True,0.0,0.9936691633782393,0.0954012261766412,0.01798536961360184,FSH
True,0.0,0.9719041260173843,0.18452407940824556,0.0233858462110882,FSH
True,0.0,0.9792657800746881,0.24810788413652193,0.1429397938466322,FSH
True,0.0,0.9527363945350502,0.251399829124867,0.01737001600226275,FSH
True,0.0,0.9848311244014516,0.1638284595606576,0.05080070363370249,FSH
True,0.0,0.9768304994490608,0.18346922269435945,0.023326061691820554,FSH
False,0.4393536070944568,0.8935242980103238,0.3662837542007434,0.05945723934782268,PGF
False,0.19270527516712638,0.9476204969644795,0.3438982089802222,0.165198559214721,PGF
False,2.0054164275302373,0.8625736200326889,0.44161272638891735,0.09560328027615625,PGF
True,0.0,0.9997995842419676,0.0231878788532072,0.015004351296140474,FSH
True,0.0,0.97788536363933,0.24225930494956882,0.11838046871258179,FSH
True,0.0,0.9967158118315498,0.07651424222687479,0.02957669565855389,FSH
True,0.0,0.9823063217501592,0.21910983799449982,0.11052010983164325,FSH
True,0.0,0.9759657616175967,0.1760251666160393,0.0215791688852289,FSH
True,0.0,0.9834490325963164,0.24242319049517114,0.15023295037466738,FSH
True,0.0,0.9993696588965856,0.03396848670123489,0.0077678826573984675,FSH
True,0.0,0.9967840405056672,0.07168437437985574,0.01812183380795399,FSH
False,0.021942547398368633,0.9264772889648185,0.31481301704527764,0.015502878342083793,PGF
True,0.0,0.9771130328571347,0.2499549317363516,0.109659275748186,FSH
True,0.0,0.9873169121026425,0.13128457254129425,0.02029299548876711,FSH
True,0.0,0.9931824239153423,0.1171728895249799,0.05597704753049253,FSH
True,0.0,0.9978024801472279,0.05140956517429064,0.02274294935742959,FSH
True,0.0,0.9714863872487576,0.2943279236983985,0.1459099301703039,FSH
True,0.0,0.9764568040829998,0.17943882717698237,0.01988068674935217,FSH
True,0.0,0.9823432299929055,0.21416660060124892,0.11318985315420638,FSH
True,0.0,0.9986356770713537,0.05687402016581166,0.026743136532023783,FSH
True,0.0,0.9402867966159453,0.2746112444003846,0.02754358224853884,FSH
True,0.0,0.9815887440285896,0.23757091548942705,0.13494420389351205,FSH
True,0.0,0.9511068998185553,0.24874783287647917,0.021249002940474493,FSH
False,0.5808122837013144,0.8922330214609496,0.3762110414376627,0.07127157590080521,PGF
True,0.0,0.974671977910323,0.2738076471063804,0.1518768905884049,FSH
True,0.0,0.9987736944495154,0.04765307217607359,0.009729647126141532,FSH
True,0.0,0.9999324984767323,0.015153013813254602,0.012855198322750979,FSH
True,0.0,0.9995925804771736,0.029481984002457762,0.017715783526808925,FSH
True,0.0,0.9739002926408695,0.2793992534796584,0.14748603853538697,FSH
False,0.3262553278278014,0.8986766973380806,0.3571187646774509,0.04109601681463141,PGF
True,0.0,0.9797081530290839,0.1647457704091388,0.020175901761090183,FSH
False,0.25331840945955714,0.9609058749796545,0.35033074701010875,0.18891031323285035,PGF
False,2.0089873144777664,0.8628969426886527,0.441738749623304,0.09109044923631528,PGF
True,0.0,0.9726283931057725,0.19447985119575012,0.02985598586947436,FSH
False,2.584758908715062,0.8509813801005585,0.46077185415100064,0.07395882553029921,PGF
True,0.0,0.9515008039056283,0.24461630075221155,0.020407297585675065,FSH
True,0.0,0.9764483790456626,0.2597658703964527,0.15102547109748696,FSH
True,0.0,0.9982567091687057,0.048367010245619846,0.011037333546294504,FSH
True,0.0,0.997846462352027,0.0822185175364403,0.05176143379654521,FSH
True,0.0,0.9739149396860602,0.19083980410413692,0.03162316409935728,FSH
True,0.0,0.9984782398183153,0.06252922880096384,0.017723267135067142,FSH
False,0.07647406443857493,0.9681486164873762,0.32765394446341695,0.16207395082683343,PGF
True,0.0,0.9577652718578618,0.23061579097313598,0.02207816029093536,FSH
False,1.828765130964628,0.8644199110234024,0.43523184280947397,0.09133525113963825,PGF
True,0.0,0.9304884450640979,0.2897849012052613,0.029485283209869345,FSH
True,0.0,0.9872060885203574,0.19423372922194385,0.11280939499591841,FSH
False,0.05414323723875415,0.9678680354440112,0.3232686994133222,0.14508087993088714,PGF
True,0.0,0.9952971910159899,0.08180720009535655,0.01096561133561092,FSH
True,0.0,0.9716579738956935,0.19805950723754664,0.015594944625809173,FSH
True,0.0,0.9976166560757993,0.06250984473777416,0.020016165923119365,FSH
True,0.0,0.999881648833605,0.01395835854637742,0.008489532252523357,FSH
True,0.0,0.9973623795242454,0.06857949777429054,0.023069361950774987,FSH
True,0.0,0.9946035018323637,0.09449977079009339,0.014746515920378995,FSH
True,0.0,0.9868368880057213,0.1350026892299068,0.017579082140643677,FSH
True,0.0,0.9882027457754998,0.12336858205399738,0.014650419838721333,FSH
True,0.0,0.9999378191750202,0.013249454836762466,0.01363962191027137,FSH
False,9.13590168968997,0.7883620518150334,0.6016669256195523,0.11919453278761073,PGF
True,0.0,0.9990998839628275,0.048861691896345594,0.02549814888050264,FSH
