profile_parameter,used_as_nuisance,nuisance_parameters
insulin_fsh_scale,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
hp_fsh_follicle_threshold,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
fsh_basal_release,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
hp_e2_oxt_scale,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
hp_oxt_pg_threshold,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
cl_formation_scale,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
e2_clearance,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
hepatic_glucose_release,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
glucagon_glucose_threshold,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
igf_lh_sensitivity_threshold,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
pg_clearance,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
igf_lh_sensitivity_scale,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
liver_usage_rate,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
hp_lh_follicle_scale,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
hp_cl_self_scale,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
hp_e2_oxt_threshold,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
p4_clearance,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
fsh_clearance,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
igf_clearance,True,"insulin_glucose_threshold, blood_usage_glucose_threshold, inhibin_clearance, blood_to_liver_glucose_threshold, hp_p4_follicle_scale, hm_ih_2_threshold, follicle_to_e2_scale, hp_fsh_follicle_scale, follicle_to_inhibin_scale, hm_follicle_threshold, insulin_fsh_scale, hp_fsh_follicle_threshold, fsh_basal_release, hp_e2_oxt_scale, hp_oxt_pg_threshold, cl_formation_scale, e2_clearance, hepatic_glucose_release, glucagon_glucose_threshold, igf_lh_sensitivity_threshold, pg_clearance, igf_lh_sensitivity_scale, liver_usage_rate, hp_lh_follicle_scale, hp_cl_self_scale, hp_e2_oxt_threshold, p4_clearance, fsh_clearance, igf_clearance, insulin_lh_scale, oxt_clearance, hp_e2_1_threshold, hp_gnrh_lh_threshold, hm_e2_fsh_scale, p4_baseline, lh_clearance, hm_p4_lh_threshold, insulin_igf_scale, hp_e2_1_scale, gnrh_syn, igf_basal_release, hp_e2_lh_scale, iof_clearance, hp_e2_lh_threshold, hp_p4_follicle_threshold, hp_p4_fsh_scale, hm_p4_lh_scale, hp_gnrh_lh_scale, insulin_igf_threshold, cl_to_p4_scale, hp_pg_iof_threshold, feed_direct_blood_fraction, hp_enz_pg_threshold, gnrh_clearance, enz_clearance, hp_p4_enz_scale, hp_cl_self_threshold, hp_iof_threshold, hp_gnrh_fsh_scale, lh_basal_release, insulin_clearance, insulin_secretion_max, fsh_syn_scale, insulin_fsh_threshold"
